FID,Shape,FID_1,Area,Block,Profile,EC,SAR,E_Depth,WT,CaCO3,Gypsum,OM,N,P,K,Fe,Mn,Zn,Cu,TEXTURE_AL,pH,Long,Lat
267,Point,789,1,66,529,1.19,2.5,150,150,8,0.45,1.65,79.2,30.4,580,5.65,7.025,1.08,2.7,Clay,6.76,"30° 28' 13.324"" E","30° 59' 7.625"" N"
835,Point,2299,1,69,115,0.61,1.92,150,120,5.65,2.06,2.45,112,14,480,5.775,3.45,0.81,4.8,Clay,8.01,"30° 24' 2.133"" E","31° 15' 36.838"" N"
394,Point,940,1,54,167,1.55,2.5,120,150,8.8,2.5,1.42,70,13.4,310,6.875,4.45,0.7,3.8,Clay,8.16,"30° 16' 35.877"" E","30° 59' 36.707"" N"
346,Point,874,1,44,80,1,3.2,120,150,2.3,0.55,1,88,31,205,8.875,4.275,0.75,2.8,Clay,8.31,"30° 8' 22.274"" E","31° 6' 19.537"" N"
569,Point,1372,1,67,249,0.85,2.4,150,100,4.8,1.8,2.7,96,19,390,9.0875,7.0875,1.2,2.75,Clay,8.28,"30° 25' 2.116"" E","31° 6' 41.376"" N"
58,Point,402,1,54,80,2.9,1.1,150,150,7.1,0.68,0.87,95.8,10.4,410,5.3625,3.75,0.8,4.2,Clay,7.59,"30° 15' 39.719"" E","30° 58' 47.685"" N"
749,Point,2207,1,115,93,1,2.2,120,150,6.4,0.58,0.82,48,13.8,490,3.45,4.075,1,4,Clay,8.07,"30° 38' 37.348"" E","30° 49' 25.294"" N"
760,Point,2218,1,115,158,1.3,3.4,120,150,10.3,1.1,1.6,100.4,22.35,510,8.75,7.5,1.2,5.2,Clay,7.45,"30° 39' 34.187"" E","30° 47' 31.797"" N"
844,Point,2308,1,87,113,2.48,5.19,150,150,7.35,1.11,2.13,120,28,325,3,7.25,0.95,3.1,Clay,7.6,"30° 31' 23.700"" E","30° 52' 38.722"" N"
994,Point,2474,1,68,525,1.1,1.84,150,150,6.62,0.71,1.64,100,10,490,10.3,4.775,0.98,3.1,Clay,7.79,"30° 28' 27.695"" E","31° 12' 39.423"" N"
1161,Point,3274,4,114,77,2.42,3.96,80,200,0.23,1.7,0.15,39.55,5.97,87.34,1.58,13.14,1.85,0.68,Clay,8.73,"30° 38' 57.342"" E","30° 44' 0.633"" N"
800,Point,2264,1,89,234,3,2.7,150,150,2,0.91,1.5,72,20,475,4.275,3.25,1.1,2.7,Clay,7.56,"30° 33' 49.694"" E","31° 9' 25.813"" N"
490,Point,1096,1,34,242,1.66,1.46,150,150,22.16,0.87,1.88,132,33,650,11.5,5.25,0.75,6,Clay,7.37,"30° 2' 48.198"" E","30° 57' 5.220"" N"
881,Point,2353,1,67,430,1.65,0.93,150,150,5.3,1.1,2.9,82.8,18.5,295,8.85,7.1,0.28,2.5,Clay,8.14,"30° 27' 14.939"" E","31° 4' 32.080"" N"
145,Point,616,1,67,105,1.4,2.3,150,90,4.9,1.2,2.8,84,15,380,3,3.2,0.33,4,Clay,7.72,"30° 23' 28.189"" E","31° 5' 36.003"" N"
1053,Point,2533,1,87,395,1.12,3,150,150,5.97,1.46,2.05,132,26,325,8,3,1.2,3.2,Clay,7.98,"30° 34' 31.784"" E","30° 53' 11.849"" N"
236,Point,753,1,116,108,1.1,3,120,150,8,0.94,2.1,108,16,410,9.25,7.05,0.7,4.8,Clay,7.84,"30° 38' 35.236"" E","30° 58' 53.528"" N"
1086,Point,2566,1,89,230,3.35,5.1,120,150,3.1,0.83,1.8,95.2,14.5,380,4.25,4.1625,0.75,4.35,Clay,7.63,"30° 33' 49.992"" E","31° 8' 20.875"" N"
1002,Point,2482,1,68,131,2.7,3.32,150,150,5.4,0.86,1.6,120,26,360,6.3,6.475,0.93,5.1,Clay,7.54,"30° 24' 3.671"" E","31° 11' 33.330"" N"
1114,Point,2594,1,68,548,1.27,2.31,150,150,5.38,0.97,1.42,64,23.15,480,6.325,3.45,1.3,4.85,Clay,7.97,"30° 28' 47.029"" E","31° 11' 18.329"" N"
472,Point,1044,1,44,30,1.65,5,150,150,2.5,1.1,1,92,14,320,8.75,3,0.9,6,Clay,7.94,"30° 8' 6.644"" E","31° 0' 22.276"" N"
365,Point,899,1,27,581,1.1,2.3,150,80,14.7,0.7,2.6,140,21,375,9,4.95,0.9,7.5,Clay,7.75,"29° 58' 55.616"" E","31° 7' 20.339"" N"
1087,Point,2567,1,88,533,1.6,2.7,110,150,3.85,0.75,1.66,95.2,13.85,330,3.25,3.975,0.75,3.85,Clay,8.15,"30° 36' 2.862"" E","31° 5' 22.723"" N"
797,Point,2260,1,90,65,0.78,1.67,125,150,6.8,1.94,1.95,84,12,375,3,5,1,4.2,Clay,8.17,"30° 30' 56.727"" E","31° 19' 25.869"" N"
770,Point,2229,1,115,211,0.8,2,120,150,6.4,0.6,0.9,92,13,410,4.45,6.575,1.6,4.3,Clay,8.13,"30° 40' 11.355"" E","30° 49' 41.779"" N"
734,Point,2192,1,115,363,0.5,1.9,120,150,8.5,0.51,1.2,107.2,28.4,290,6.4,8.025,0.23,3.5,Clay,8.02,"30° 42' 42.009"" E","30° 48' 53.433"" N"
618,Point,1433,1,55,180,1.76,1.3,150,150,14.4,1.5,2.75,100,15,430,9.325,4.4375,1,0.35,Clay,8.08,"30° 16' 51.178"" E","31° 7' 27.596"" N"
307,Point,830,1,35,334,1.96,6.9,120,150,4,0.3,1.1,101.2,19,470,8.775,6.875,0.85,4.1,Clay,7.79,"30° 3' 38.968"" E","31° 6' 50.025"" N"
1189,Point,3545,4,147,104,2.03,6.6,150,200,2.07,0.07,2.92,183.75,6.58,326,2.66,0.27,0.38,0.1,Clay,8.22,"30° 47' 25.233"" E","30° 40' 46.901"" N"
776,Point,2235,1,88,178,3.76,7.9,150,150,3.7,0.75,2.45,55.2,19.96,500,4.25,6.75,1.3,5,Clay,8.29,"30° 31' 57.942"" E","31° 4' 16.959"" N"
654,Point,1475,1,55,250,1.71,2.55,150,150,7.3,2.7,2.41,120,9,405,17.625,11.4125,0.55,5.3,Clay,7.61,"30° 17' 49.466"" E","31° 3' 40.635"" N"
340,Point,865,1,45,477,2.1,4.4,150,150,10.5,0.34,0.23,132,22,280,4.75,3.25,7,5.4,Clay,8.24,"30° 13' 3.802"" E","31° 9' 19.910"" N"
637,Point,1454,1,55,436,2.7,1.6,150,150,6,0.45,1.65,108,22,500,6.8375,9.3375,1.2,5.2,Clay,7.34,"30° 20' 2.604"" E","31° 0' 58.995"" N"
1100,Point,2580,1,68,559,1.19,1.81,150,150,10.46,0.9,1.42,75.2,10.9,390,5.5,5.5875,1,4.8,Clay,7.97,"30° 28' 46.049"" E","31° 14' 16.905"" N"
72,Point,429,1,69,514,4.1,7.45,150,150,6.3,1.45,1.84,109.2,34,340,5.575,8.1125,0.9,4.8,Clay,7.55,"30° 28' 44.530"" E","31° 18' 52.882"" N"
1064,Point,2544,1,117,155,0.72,1.8,150,150,7.8,0.62,0.24,68,20,310,4.875,3,0.8,3,Clay,7.97,"30° 39' 11.449"" E","31° 5' 39.505"" N"
579,Point,1389,1,56,103,4.23,4.3,140,200,10.2,1.1,1.84,96,10,415,5.625,3.4625,1.45,4.25,Clay,7.99,"30° 16' 10.695"" E","31° 13' 24.523"" N"
830,Point,2294,1,68,592,2.77,7.8,120,150,6.22,0.99,1.52,84.4,9.4,480,3.4625,2.2,1.05,4.11,Clay,7.89,"30° 29' 25.841"" E","31° 8' 3.669"" N"
101,Point,483,1,66,344,13.28,30.1,150,150,8.25,0.45,2.15,120,12,410,3.75,5.25,0.75,2.2,Clay,7.68,"30° 26' 21.876"" E","30° 54' 31.157"" N"
1155,Point,3266,4,114,2,1.35,2.99,150,200,0.2,1.5,0.11,39.55,5.01,105.92,3.12,14,2.362,5.9,Clay,8.89,"30° 38' 0.773"" E","30° 44' 49.184"" N"
428,Point,993,1,44,288,3.1,2.2,150,150,12.2,1.5,1.1,108,17,310,6.75,4.975,1.15,4.65,Clay,7.96,"30° 10' 55.430"" E","31° 2' 0.785"" N"
483,Point,1069,1,43,23,1.62,3.3,120,150,5.3,4.2,2.07,128,32,680,10.5,5.5,0.6,4.3,Clay,6.86,"30° 7' 29.989"" E","30° 58' 28.388"" N"
33,Point,34,1,54,163,2.95,1.7,120,150,8.5,0.79,1.43,84,17,380,3.825,3.35,0.87,5.1,Clay,7.68,"30° 16' 36.367"" E","30° 58' 31.771"" N"
333,Point,856,1,45,407,0.93,4.6,150,150,2.6,0.1,0.96,72,18,320,8.375,5.5,0.9,3.2,Clay,7.82,"30° 12' 5.673"" E","31° 12' 18.129"" N"
638,Point,1455,1,55,469,3.45,7.5,120,150,7.1,1.9,2.2,88,18,430,5.3625,5.5875,1,4.8,Clay,7.53,"30° 20' 20.892"" E","31° 2' 20.263"" N"
672,Point,1497,1,56,337,2.59,7.7,120,150,12.3,2.8,1.89,88,13,410,5.3375,4.25,0.6,4,Clay,7.51,"30° 19' 1.757"" E","31° 10' 59.355"" N"
409,Point,971,1,43,465,2.9,2.5,120,150,4.9,3.5,2.5,86,15.3,220,6.3375,2.975,0.6,4.3,Clay,8.43,"30° 12' 31.570"" E","30° 58' 14.100"" N"
502,Point,1128,1,35,237,8.13,6.2,80,70,6,3.8,1.3,56,26,320,10.5,5.5,0.8,3.6,Clay,8.12,"30° 2' 44.478"" E","31° 3' 18.581"" N"
698,Point,1540,1,69,287,2.95,7.28,120,150,9.45,2.45,2.12,116,14,450,5.525,6.8375,0.95,0.2,Clay,7.58,"30° 25' 55.130"" E","31° 16' 42.289"" N"
1056,Point,2536,1,86,363,2.1,0.9,150,150,3.7,0.43,1.55,57.6,21.4,450,2.95,9.375,0.45,3.4,Clay,8.05,"30° 33' 54.429"" E","30° 52' 6.783"" N"
804,Point,2268,1,88,537,1.9,4.5,130,150,3.82,0.91,1.65,96,22,375,4.75,3,1.1,4.3,Clay,8,"30° 36' 2.590"" E","31° 6' 27.662"" N"
1080,Point,2560,1,88,485,3.1,5.82,130,150,3.2,0.65,2.34,80,13.8,340,4.4625,5.5375,0.7,3.15,Clay,7.55,"30° 35' 24.713"" E","31° 7' 0.013"" N"
274,Point,796,1,36,560,4.3,0.9,90,90,9.6,0.65,0.55,100.4,14.4,400,6.75,8.8,0.7,3.9,Clay,7.57,"30° 6' 5.307"" E","31° 14' 58.088"" N"
1043,Point,2523,1,87,182,2.87,6.33,150,150,6.99,1.74,1.79,100,15,425,3,4.25,1.5,4.3,Clay,7.7,"30° 32' 0.320"" E","30° 56' 9.915"" N"
1138,Point,2618,1,89,189,1.26,2.7,120,150,2.2,0.92,1.6,135.2,17,400,6.775,3.45,0.8,4.8,Clay,7.85,"30° 32' 52.675"" E","31° 10' 46.790"" N"
1103,Point,2583,1,68,220,1,0.99,150,100,5.62,1.03,1.56,71.6,14.99,510,6.775,4.45,1.2,4.8,Clay,6.85,"30° 24' 59.626"" E","31° 13' 27.228"" N"
62,Point,406,1,45,584,1.19,5.3,120,150,10.2,0.22,1.2,71.4,13.8,430,5.3625,3.125,0.8,3.9,Clay,7.59,"30° 14' 19.437"" E","31° 9' 4.130"" N"
216,Point,717,1,66,272,2.03,4.3,150,150,8,1,2.1,122.4,13.4,470,2.275,7.6,10.6,2.4,Clay,8.18,"30° 25' 24.220"" E","30° 57' 45.725"" N"
555,Point,1356,1,36,120,2.75,3.4,150,120,6,0.28,1.4,76,14,325,13.25,4.5,0.82,2.4,Clay,8.29,"30° 1' 25.234"" E","31° 9' 31.369"" N"
470,Point,1042,1,43,134,2.5,2.5,120,150,10.6,3.7,1.3,92,14,320,8.75,3,0.9,6,Clay,7.59,"30° 8' 44.771"" E","30° 59' 33.827"" N"
1020,Point,2500,1,68,74,2,3.51,150,150,6.02,0.92,1.54,76,12,410,8,4.7,1.1,4.15,Clay,7.53,"30° 23' 26.215"" E","31° 10' 44.450"" N"
817,Point,2281,1,68,520,1.7,3.7,150,150,6.23,0.81,1.58,138,17.8,480,3.2,3.35,1.11,4.35,Clay,7.84,"30° 28' 28.145"" E","31° 11' 18.252"" N"
1163,Point,3276,4,114,83,3.86,5.6,150,200,0.16,1.4,0.1,47.46,4.84,160.4,7.16,20.66,1.62,2.32,Clay,8.4,"30° 40' 50.112"" E","30° 44' 0.925"" N"
330,Point,853,1,45,424,1.4,4.4,150,150,2.5,0.72,0.87,112,20,425,7.75,5.375,0.8,4.7,Clay,8.12,"30° 12' 25.914"" E","31° 9' 35.912"" N"
1126,Point,2606,1,89,94,2.25,5.58,120,150,2.3,0.69,1.8,112.4,17.8,490,9.525,5.525,0.8,5.3,Clay,7.51,"30° 31' 19.243"" E","31° 7' 31.635"" N"
909,Point,2382,1,90,24,1.3,2.07,150,200,5.9,0.97,2.16,62.8,38.7,560,5.175,5.2,0.97,5.2,Clay,7.16,"30° 30' 19.670"" E","31° 16' 59.619"" N"
349,Point,878,1,35,558,5.5,4.1,150,150,10,0.7,1.3,72,25,800,8,5.25,0.6,5.2,Clay,7.06,"30° 6' 9.907"" E","31° 6' 51.101"" N"
1074,Point,2554,1,88,567,2.25,2.7,130,150,3.6,0.78,2.44,88,22,340,4.2875,4.0375,0.85,2.95,Clay,7.52,"30° 36' 21.256"" E","31° 7' 16.424"" N"
1004,Point,2484,1,68,159,3.1,3.31,150,150,6.08,0.75,1.5,86.4,11.4,610,7.55,5.35,1.12,3.9,Clay,6.75,"30° 24' 22.454"" E","31° 11' 49.651"" N"
583,Point,1393,1,45,620,0.76,1.5,150,120,10.2,0.47,0.62,88,16,290,8.0375,4.4375,0.7,4.85,Clay,7.77,"30° 14' 37.151"" E","31° 11' 30.342"" N"
593,Point,1405,1,55,512,3.1,5.8,150,150,4.8,0.97,2.82,108,12,500,13.825,4.525,1,4.8,Clay,7.5,"30° 20' 38.072"" E","31° 6' 23.871"" N"
161,Point,632,1,55,548,0.59,1.8,150,150,5.8,0.7,1.95,95.2,20.7,550,4.125,5.775,0.75,3.8,Clay,6.72,"30° 21' 18.002"" E","31° 0' 59.378"" N"
219,Point,720,1,66,414,3.42,9.1,150,150,7.65,0.6,1.45,138.8,17.5,420,3.575,10.675,1.23,4.1,Clay,7.52,"30° 26' 58.229"" E","30° 58' 18.606"" N"
612,Point,1426,1,55,198,3.6,3.7,150,150,12.5,1.1,2.1,96,17,410,5.325,4.15,0.7,0.15,Clay,7.93,"30° 17' 11.264"" E","31° 4' 45.363"" N"
606,Point,1418,1,56,413,3.72,5.5,90,90,10.2,2.4,1.75,120,13,480,5.0875,3.125,0.7,4.3,Clay,8.26,"30° 19' 58.974"" E","31° 9' 38.484"" N"
769,Point,2228,1,115,168,1.9,3.5,120,150,10.2,0.8,1.2,108.4,17.8,480,6.775,6.325,1.4,4.8,Clay,8.25,"30° 39' 33.613"" E","30° 50' 14.152"" N"
953,Point,2427,1,87,470,2.04,3.04,150,150,7.21,2.38,2.07,116,21,510,8.925,7.05,0.6,5.2,Clay,7.32,"30° 35' 8.101"" E","30° 58' 20.438"" N"
258,Point,775,1,66,577,2.01,5.6,150,150,7.65,0.45,1.85,114.8,18.6,470,4.675,8.125,0.83,0.1,Clay,8.19,"30° 28' 51.715"" E","30° 56' 57.901"" N"
1125,Point,2605,1,68,262,2.57,8.68,120,120,5.82,0.83,1.66,91.2,17.75,480,4.45,1.95,0.7,4.4,Clay,8.1,"30° 25' 38.778"" E","31° 9' 40.122"" N"
590,Point,1401,1,45,640,2.7,4.9,150,150,2.6,0.15,0.78,108,18,520,14.4375,6.9375,1.1,5.4,Clay,6.9,"30° 14' 56.932"" E","31° 9' 36.819"" N"
38,Point,129,1,54,311,14.89,29.7,150,150,8.6,1.1,2,108,27,490,3.15,5.55,0.82,4.2,Clay,7.91,"30° 18' 31.754"" E","30° 53' 7.704"" N"
311,Point,834,1,36,570,1.3,1.3,150,120,10.5,0.71,1.12,60,15,480,7.075,8.95,1.1,4.4,Clay,7.95,"30° 6' 26.949"" E","31° 10' 6.029"" N"
217,Point,718,1,66,300,2.66,3.7,150,150,6.25,0.8,1.85,122.4,13.4,470,2.275,7.6,10.6,2.4,Clay,8.11,"30° 25' 43.059"" E","30° 57' 45.809"" N"
233,Point,750,1,116,161,1.25,3.6,120,150,12.4,1.02,2.3,108,13,430,7.05,6.275,0.6,4,Clay,8.28,"30° 39' 13.100"" E","30° 58' 4.926"" N"
1096,Point,2576,1,69,169,6.2,7.4,150,150,6.55,2.1,2.05,68,10.85,395,4.4625,4.4625,0.55,3.2,Clay,7.99,"30° 24' 40.130"" E","31° 15' 4.545"" N"
1176,Point,3449,4,114,305,0.88,2.15,150,200,0.17,1.1,0.19,27.69,20,95.52,6.34,13.28,2.91,3.58,Clay,8.35,"30° 42' 43.318"" E","30° 41' 35.067"" N"
768,Point,2227,1,115,322,0.7,1.9,120,150,10.2,1.2,1.5,92.4,19.98,550,6.775,6.325,1.5,4.3,Clay,7.24,"30° 41' 44.960"" E","30° 52' 8.129"" N"
445,Point,1014,1,35,515,6.3,4.5,120,120,7,1.3,1.3,92,21,610,8,3.25,1.3,0.3,Clay,7.36,"30° 5' 53.342"" E","31° 2' 47.473"" N"
1027,Point,2507,1,68,70,1.65,2.74,150,150,5.82,0.99,1.27,76,6,465,6.25,5.325,0.8,2.9,Clay,8.01,"30° 23' 26.631"" E","31° 9' 39.514"" N"
77,Point,436,1,69,449,1.94,3.6,150,150,7.4,2.35,1.96,112,26.2,430,6.425,8.15,1.3,3.6,Clay,7.68,"30° 27' 48.264"" E","31° 17' 31.479"" N"
344,Point,869,1,44,384,2.05,2.7,150,150,6.2,1.42,1.6,132,23,220,7.5,3.75,0.9,2.4,Clay,8.4,"30° 11' 50.349"" E","31° 5' 15.943"" N"
970,Point,2450,1,87,446,1.7,4.5,150,150,5.31,2.26,2.31,48.8,26.64,470,3.525,9.275,0.45,3.6,Clay,7.94,"30° 34' 48.975"" E","30° 59' 25.317"" N"
1044,Point,2524,1,87,342,3.08,7.34,150,150,6.77,1.35,2.38,88,20,425,3.75,3.25,1.2,5.2,Clay,7.64,"30° 33' 53.914"" E","30° 54' 0.429"" N"
893,Point,2365,1,67,418,2,5.3,150,150,3.4,0.9,2.8,84.8,21.6,485,6.325,7.05,0.65,4.8,Clay,8.28,"30° 27' 16.052"" E","31° 1' 17.267"" N"
771,Point,2230,1,115,272,1.68,2.8,120,120,8.5,2.1,2.1,92,13,410,4.45,6.575,1.6,4.3,Clay,7.56,"30° 41' 7.901"" E","30° 49' 9.449"" N"
1148,Point,2628,1,68,569,1.46,2.98,150,150,5.36,0.89,1.46,101.2,25.1,490,6.775,4.45,1.1,4.8,Clay,7.63,"30° 29' 6.528"" E","31° 9' 24.766"" N"
956,Point,2433,1,116,635,1.45,1.6,120,110,11.8,1.05,1.9,84,11,410,8.775,4.975,0.8,4.8,Clay,7.75,"30° 44' 33.481"" E","30° 57' 33.206"" N"
796,Point,2259,1,90,50,1.15,2.14,125,150,6.4,2.72,1.63,84,12,375,3,5,1,4.2,Clay,7.78,"30° 30' 37.816"" E","31° 19' 25.798"" N"
304,Point,826,1,36,366,1.3,1.3,150,150,8.1,0.91,0.66,71.2,13.5,420,6.775,5.5875,0.9,3.9,Clay,7.65,"30° 4' 16.070"" E","31° 7' 55.230"" N"
604,Point,1416,1,45,587,1.01,1.9,120,150,7.4,0.18,0.98,124,40,450,12.0375,6.775,1.3,5.2,Clay,8.24,"30° 14' 19.047"" E","31° 9' 52.830"" N"
1088,Point,2568,1,88,478,3.3,3.5,130,150,3.96,0.76,2.36,88.4,17.1,42,5.775,6.275,1,4.8,Clay,8.36,"30° 35' 25.202"" E","31° 5' 6.370"" N"
864,Point,2331,1,86,261,1.87,1.4,120,120,8.3,0.4,1.33,180.8,24.2,480,5.175,7.3,0.88,4.7,Clay,7.75,"30° 32' 59.332"" E","30° 47' 14.355"" N"
442,Point,1010,1,35,534,6.2,6.6,150,90,4,1,1.2,112,29,580,8.25,5.125,0.7,0.3,Clay,7.31,"30° 6' 13.566"" E","31° 0' 21.504"" N"
687,Point,1513,1,116,66,1.58,2.8,120,150,6.2,0.81,2.32,92.4,26.2,610,6.65,7.85,0.76,4.4,Clay,7.37,"30° 38' 17.252"" E","30° 55' 6.184"" N"
1057,Point,2537,1,86,389,3.17,3.8,150,150,8.1,0.71,1.99,57.6,21.4,450,2.95,9.375,0.45,3.4,Clay,7.61,"30° 34' 13.395"" E","30° 51' 34.376"" N"
596,Point,1408,1,55,262,1.4,3.6,150,150,8.4,0.3,2,39.6,10,410,6.95,3.275,0.8,4.15,Clay,8.12,"30° 17' 48.029"" E","31° 6' 55.442"" N"
316,Point,839,1,45,10,2.5,4.1,120,150,8.2,0.87,0.44,60,15,480,7.075,8.95,1.1,4.4,Clay,7.64,"30° 7' 42.463"" E","31° 10' 6.546"" N"
141,Point,612,1,67,220,2.45,8,120,120,4.5,0.8,2.2,72,18,430,3.2,3.1,1.05,4.1,Clay,8.3,"30° 24' 43.348"" E","31° 6' 25.056"" N"
162,Point,633,1,55,489,2.18,5,150,150,12,0.64,2.1,94,19.98,285,6.1,6.9,0.51,5.6,Clay,7.54,"30° 20' 40.637"" E","31° 0' 10.485"" N"
371,Point,905,1,27,557,6,8.3,150,100,13.1,1.2,2.1,96,23,420,7,5.75,0.6,5.2,Clay,7.83,"29° 58' 59.767"" E","31° 0' 50.756"" N"
446,Point,1015,1,35,546,2.8,4.9,150,150,8,0.6,1.4,92,21,610,8,3.25,1.3,0.3,Clay,6.56,"30° 6' 11.739"" E","31° 3' 36.304"" N"
995,Point,2475,1,68,441,1.7,2.8,150,150,5.82,0.72,1.64,156,17,340,9.425,5.175,1.06,4.2,Clay,8.24,"30° 27' 31.031"" E","31° 12' 39.188"" N"
117,Point,506,1,86,110,1.29,2.5,150,150,7.3,1,1.59,120,28,325,3,7.25,0.95,3.1,Clay,7.95,"30° 31' 5.121"" E","30° 51' 49.947"" N"
1040,Point,2520,1,87,292,2.74,6.93,150,150,6.89,1.49,2.47,132,25,425,2.75,3,1.4,2.2,Clay,8,"30° 33' 15.808"" E","30° 55' 37.711"" N"
16,Point,16,1,116,145,1.52,3.1,120,150,7.5,0.74,2.3,74.8,21.9,250,4.6,5.925,0.43,4.1,Clay,8.29,"30° 39' 14.038"" E","30° 53' 45.162"" N"
662,Point,1485,1,55,494,0.85,1.1,150,150,3.5,0.35,1.28,88,22,780,9.25,9.325,0.9,4.9,Clay,7.41,"30° 20' 40.080"" E","31° 1' 31.657"" N"
815,Point,2279,1,89,68,2.9,2.5,120,150,1.56,0.72,2.14,88.4,27.1,550,8.275,4.45,1.2,5.5,Clay,7.22,"30° 30' 39.830"" E","31° 12' 56.180"" N"
848,Point,2314,1,86,465,1.44,1.8,150,150,9.1,0.84,2,120,15.5,560,6.275,10.925,0.48,4.7,Clay,7.08,"30° 35' 10.412"" E","30° 49' 24.677"" N"
181,Point,675,1,67,1,1.7,2.4,150,150,5.1,1.2,2.8,125.2,16.5,450,2.95,9.5,1.02,2.4,Clay,8.26,"30° 22' 33.717"" E","31° 0' 11.046"" N"
568,Point,1371,1,67,140,7,9.4,150,100,6,1.2,2.8,124,12,385,7,4.675,0.95,2.1,Clay,8.28,"30° 23' 46.334"" E","31° 7' 29.731"" N"
582,Point,1392,1,56,21,1.64,2.2,110,110,8.2,0.2,2.67,120,33,420,12.1625,5.8875,0.9,5.4,Clay,8.27,"30° 15' 14.152"" E","31° 13' 7.964"" N"
1127,Point,2607,1,88,77,1.8,4.3,150,150,3.12,0.5,2.47,111.2,11.8,400,6.275,4.25,0.8,4.3,Clay,7.97,"30° 30' 41.917"" E","31° 6' 10.321"" N"
366,Point,900,1,27,607,6,4.4,150,70,13.5,2.3,2.7,140,21,375,9,4.95,0.9,7.5,Clay,7.52,"29° 59' 14.830"" E","31° 6' 48.023"" N"
482,Point,1067,1,34,633,5.14,8.5,150,150,22.1,0.89,1.7,128,32,680,10.5,5.5,0.6,4.3,Clay,6.52,"30° 7' 11.298"" E","30° 58' 12.026"" N"
360,Point,894,1,35,81,1.1,2.4,150,150,7,4,1.4,88,21,420,9.75,4.25,0.6,2.1,Clay,7.87,"30° 0' 49.332"" E","31° 6' 32.522"" N"
818,Point,2282,1,88,107,1.6,3.3,150,150,3.93,0.76,2.45,135.4,13.8,410,3.95,4.25,0.9,0.11,Clay,7.83,"30° 31' 0.536"" E","31° 6' 59.096"" N"
388,Point,934,1,55,101,1.62,0.9,150,150,12.3,1.1,2.35,84,8.2,580,9.3375,5.525,1,4.3,Clay,7.44,"30° 16' 16.291"" E","31° 1' 14.006"" N"
594,Point,1406,1,55,539,1.5,1.9,150,150,11.2,0.12,1.88,108,12,500,13.825,4.525,1,4.8,Clay,7.39,"30° 20' 57.051"" E","31° 6' 7.732"" N"
711,Point,2162,1,86,528,3.99,1,150,150,4.6,0.5,2.15,129.6,25.8,460,7.1,5.85,0.35,4.7,Clay,8.11,"30° 35' 47.560"" E","30° 51' 18.444"" N"
341,Point,866,1,45,502,3.03,2.4,150,150,6.7,0.23,0.33,132,22,280,4.75,3.25,7,5.4,Clay,7.84,"30° 13' 22.943"" E","31° 8' 47.558"" N"
56,Point,400,1,54,53,1.65,1.2,120,150,6.5,1.1,1.41,95.8,10.4,410,5.3625,3.75,0.8,4.2,Clay,7.55,"30° 15' 20.751"" E","30° 59' 3.811"" N"
334,Point,857,1,45,459,2.55,5.2,150,150,2.8,0.43,0.76,72,18,320,8.375,5.5,0.9,3.2,Clay,8.21,"30° 12' 43.715"" E","31° 11' 45.895"" N"
551,Point,1352,1,27,527,2.1,3.6,150,150,12.8,1.7,2.7,164,25,430,5.775,4.025,1.7,0.5,Clay,7.86,"29° 58' 41.267"" E","31° 0' 18.142"" N"
63,Point,409,1,55,608,1.6,3,150,150,5.2,2.85,1.86,94,18.4,450,6.95,6.75,1.25,4.7,Clay,7.81,"30° 21' 55.269"" E","31° 2' 4.502"" N"
870,Point,2342,1,67,521,1.75,4.6,150,120,5.1,1.4,2.5,124,25,380,7.35,3.45,0.89,4.3,Clay,7.56,"30° 28' 10.620"" E","31° 7' 14.661"" N"
527,Point,1158,1,44,442,2.55,3.7,150,150,5.2,2.4,0.95,88,17,320,8,6,0.95,4.8,Clay,7.72,"30° 12' 27.805"" E","31° 5' 48.644"" N"
709,Point,2160,1,86,642,1.8,1.4,150,150,8.4,0.79,1.69,129.6,20.1,520,6.65,6.4,0.43,4.5,Clay,6.56,"30° 37' 2.705"" E","30° 51' 51.143"" N"
197,Point,694,1,54,354,2.5,2.9,150,150,11.6,0.8,1.7,110.8,25.8,440,5.425,6.025,0.95,4.8,Clay,7.54,"30° 18' 48.837"" E","30° 57' 11.320"" N"
867,Point,2336,1,86,368,2.3,1.4,150,150,13.7,0.3,2.14,114,10.2,375,9.3,6.35,0.33,5.3,Clay,7.69,"30° 34' 14.914"" E","30° 45' 53.433"" N"
1116,Point,2596,1,68,409,2.13,5,150,150,5.28,0.85,1.47,91.2,17.8,551,9.275,3.45,1,5.4,Clay,7.5,"30° 27' 12.516"" E","31° 11' 34.171"" N"
282,Point,804,1,46,6,4.65,15.65,100,100,4.47,0.74,2.1,117.2,9.5,490,7.475,7.3375,0.7,4.7,Clay,7.96,"30° 7' 58.377"" E","31° 15' 31.333"" N"
622,Point,1438,1,56,325,4.42,4.2,120,150,9.3,2.4,3.21,104,19,450,6.8375,4.4625,1.1,0.75,Clay,8.11,"30° 19' 3.156"" E","31° 7' 44.550"" N"
301,Point,823,1,36,150,2.57,2.2,150,150,8.2,2,2.2,135.2,15,430,4.45,4.475,0.7,4.25,Clay,8.07,"30° 1' 43.778"" E","31° 10' 3.977"" N"
275,Point,797,1,36,588,1.2,1.4,150,110,8.9,0.36,1.08,100.4,14.4,400,6.75,8.8,0.7,3.9,Clay,8.27,"30° 6' 24.201"" E","31° 14' 58.220"" N"
